year,population
1975,326933.70996117685
1980,324847.77256593184
1985,317922.34429504944
1990,310127.0787949524
1995,304151.08800411085
2000,294883.76546481095
2005,293906.58311956737
2010,294721.91508987313
2015,280672.0361513804
2020,257922.3523661686
2025,241394.70175208495
2030,223097.06918375532
2035,205248.49489305992
2040,187136.12266179157
2045,170264.80907324047
2050,152604.7430575604
2055,135950.9293048248
2060,118725.87200387674
2065,105774.25768318877
2070,93364.72595501051
2075,85471.09151165659
2080,78184.53131785292
2085,72966.8689423129
2090,67868.43511882127
2095,63720.94186627781
2100,59563.901481020584
